name_norm,ss__c0,ss_Player,ss_Pos,ss_Age,ss_Tm,ss_G,ss_GS,ss_MP,ss_PER,ss_TS%,ss_3PAr,ss_FTr,ss_ORB%,ss_DRB%,ss_AST%,ss_STL%,ss_BLK%,ss_TOV%,ss_USG%,ss_OWS,ss_DWS,ss_OBPM,ss_DBPM,ss_VORP,ss_3P,ss_3P%,ss_FT%,ss_ORB,ss_AST,ss_STL,ss_BLK,ss_TOV,pl_Player,pl_height,pl_weight,pl_collage,pl_birth_city,pl_birth_state,pd_name,pd_position,pd_height,pd_birth_date,pd_college,PC1
johnny dawkins,9197.0,Johnny Dawkins,PG,25.0,SAS,32.0,30.0,1083.0,13.4,0.505,0.01,0.28,3.1,7.3,28.9,2.3,0.0,19.8,20.1,0.2,0.8,-1.3,-1.4,-0.2,0.0,0.0,0.893,32.0,224.0,55.0,0.0,111.0,Johnny Dawkins,188.0,74.0,Duke University,Washington,District of Columbia,Johnny Dawkins,G,6-2,"September 28, 1963",Duke University,-9183.984877128503
bob wiesenhahn,1804.0,Bob Wiesenhahn,SF,23.0,CIN,60.0,23.593374650359237,326.0,7.5,0.342,0.15860433144009717,0.186,6.181565025009618,13.708657175836867,13.009962314342726,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,-0.9,0.2,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.567,62.18920998220897,23.0,39.89705245948935,24.470260133673126,73.93983201832528,Bob Wiesenhahn,193.0,97.0,University of Cincinnati,Unknown,Unknown,Bob Wiesenhahn,F,6-4,"December 22, 1938",University of Cincinnati,-1800.128365908543
austin carr,3613.0,Austin Carr,SG,24.0,CLE,82.0,23.593374650359237,3097.0,15.4,0.488,0.15860433144009717,0.217,6.181565025009618,13.708657175836867,14.1,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,2.9,2.9,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.822,62.18920998220897,279.0,39.89705245948935,24.470260133673126,73.93983201832528,Austin Carr,193.0,90.0,University of Notre Dame,Washington,District of Columbia,Austin Carr,G,6-4,"March 10, 1948",University of Notre Dame,-3578.0983005177154
larry johnson,13092.0,Larry Johnson,SF,27.0,NYK,76.0,76.0,2613.0,13.8,0.57,0.143,0.373,7.9,10.1,11.4,1.3,1.1,13.7,17.5,4.0,3.7,0.9,1.4,2.9,34.0,0.324,0.693,165.0,174.0,64.0,36.0,136.0,Larry Johnson,190.0,92.0,University of Kentucky,Morganfield,Kentucky,Larry Johnson,G,6-3,"November 28, 1954",University of Kentucky,-13061.765288083761
larry johnson,13092.0,Larry Johnson,SF,27.0,NYK,76.0,76.0,2613.0,13.8,0.57,0.143,0.373,7.9,10.1,11.4,1.3,1.1,13.7,17.5,4.0,3.7,0.9,1.4,2.9,34.0,0.324,0.693,165.0,174.0,64.0,36.0,136.0,Larry Johnson,190.0,92.0,University of Kentucky,Morganfield,Kentucky,Larry Johnson,F,6-6,"March 14, 1969","University of Nevada, Las Vegas",-13061.765288083761
derrick dial,16632.0,Derrick Dial,SG,28.0,ORL,9.0,0.0,86.0,11.6,0.412,0.321,0.286,6.5,10.8,3.7,3.7,0.0,3.1,17.1,0.0,0.0,-1.8,-2.4,0.0,2.0,0.222,0.75,5.0,2.0,6.0,0.0,1.0,Derrick Dial,193.0,83.0,Eastern Michigan University,Detroit,Michigan,Derrick Dial,G,6-4,"December 20, 1975",Eastern Michigan University,-16630.043853359814
earl monroe*,3743.0,Earl Monroe*,SG,28.0,NYK,75.0,23.593374650359237,2370.0,16.1,0.525,0.15860433144009717,0.205,6.181565025009618,13.708657175836867,17.1,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,4.5,3.3,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.822,62.18920998220897,288.0,39.89705245948935,24.470260133673126,73.93983201832528,Earl Monroe*,190.0,83.0,Winston-Salem State University,Philadelphia,Pennsylvania,,,,,,-3716.0824574962676
corey maggette,15779.0,Corey Maggette,SG,22.0,LAC,63.0,52.0,1615.0,14.3,0.56,0.262,0.474,3.8,12.3,11.5,1.4,0.8,15.3,21.1,2.3,1.0,0.5,-1.2,0.6,46.0,0.331,0.801,54.0,112.0,41.0,19.0,116.0,Corey Maggette,198.0,98.0,Duke University,Melrose Park,Illinois,Corey Maggette,F,6-6,"November 12, 1979",Duke University,-15759.876097462266
donnell harvey,16714.0,Donnell Harvey,PF,23.0,ORL,24.0,1.0,345.0,9.5,0.462,0.034,0.438,9.3,14.4,3.7,1.5,2.3,17.2,16.8,-0.1,0.1,-4.3,-1.7,-0.4,0.0,0.0,0.667,29.0,8.0,10.0,11.0,22.0,Donnell Harvey,203.0,99.0,University of Florida,Shellman,Georgia,Donnell Harvey,F,6-8,"August 26, 1980",University of Florida,-16709.11663229244
dalibor bagaric,15533.0,Dalibor Bagaric,C,21.0,CHI,50.0,0.0,638.0,8.6,0.443,0.006,0.393,9.8,20.1,6.0,1.4,2.8,18.1,18.4,-0.7,0.6,-5.8,-0.3,-0.7,0.0,0.0,0.586,55.0,23.0,17.0,24.0,46.0,Dalibor Bagaric,216.0,115.0,Unknown,Croatia,Unknown,Dalibor Bagaric,C,7-1,"February 7, 1980",Unknown,-15524.873286570311
